1987-Dec-18 1.000

1988-Jan-30 1.001..10
1988-Feb-02 1.011..14
1988-Jun-05 2.000
1988-Jun-21 2.001

1989-Oct-18 3.000
1989-Nov-11 3.002..4
1989-Nov-18 3.005
1989-Dec-22 3.006..8

1990-Mar 3.009..18
1990-Aug 3.019..28
1990-Oct 3.029..37
1990-Nov 3.040..41

1991-Jan 3.042..044
1991-Mar 4.000
1991-Apr 4.001..3
1991-Jun 4.004..10
1991-Nov 4.011..19

1992-Jun 4.020..35

1993-Feb-05 4.036

1994-Oct-17 5.000

1995-Mar-13 5.001

1996-Feb-29 5.002
1996-Mar-25 5.002_01
1996-Jun-25 5.003
1996-Jul-31 5.003_01
1996-Aug 5.003_02..03
1996-Sep 5.003_04..05
1996-Oct 5.003_06..07
1996-Nov 5.003_08..10
1996-Dec 5.003_11..17

1997-Jan 5.003_19..23
1997-Feb 5.003_24..28
1997-Mar 5.003_90..95
1997-Apr 5.003_96..98
1997-May 5.003_99..99a
1997-May-15 5.004
1997-Jun-13 5.004_01
1997-Aug-07 5.004_02
1997-Sep-05 5.004_03
1997-Oct-15 5.004_04

1998-Jul-22 5.005
1998-Jul-27 5.005_01
1998-Aug-08 5.005_02

1999-Mar-28 5.005_03
1999-Apr-29 5.004_05

2000-Mar-22 5.6.0

2001-Apr-08 5.6.1

2002-Jul-18 5.8.0
2002-Dec-18 1.0.15

2003-Sep-25 5.8.1
2003-Nov-04 5.8.2
2003-Nov-15 5.6.2
2003-Dec-18 1.0.16

2004-Jan-14 5.8.3
2004-Feb-23 5.005_04
2004-Apr-21 5.8.4
2004-Jul-19 5.8.5
2004-Nov-27 5.8.6

2005-May-30 5.8.7

2006-Jan-31 5.8.8

2007-Dec-18 5.10.0

2008-Dec-14 5.8.9

2009-Aug-22 5.10.1

2010-Apr-12 5.12.0
2010-May-16 5.12.1
2010-Sep-06 5.12.2

2011-Jan-21 5.12.3
2011-May-14 5.14.0
2011-Jun-16 5.14.1
2011-Jun-20 5.12.4
2011-Sep-26 5.14.2

2012-May-20 5.16.0
2012-Aug-08 5.16.1
2012-Oct-12 5.14.3
